ticker,code,name,market,exchange,universe_source,merge_code,merge_exchange,source_name,source_description,price,volume,avg_volume_30d,market_cap,pe,pb,dividend_yield,roe,debt_to_equity,gross_margin,operating_margin,profit_margin,revenue_growth,earnings_growth,return_1m,return_3m,return_6m,return_12m,volatility_1m,beta_1y,source_code,source_symbol,source_exchange,avg_turnover_30d,price_status,fundamental_fields_present,fundamental_status,data_retrieved_at_utc,price_date,price_basis,price_source,fundamental_source,eligible,rank_return_1m,rank_return_3m,rank_return_6m,rank_return_12m,rank_avg_turnover_30d,rank_volatility_1m,beta_abs,rank_beta_abs,momentum_score,risk_score,liquidity_score,pre_score,earnings_yield,rank_earnings_yield,rank_dividend_yield,rank_roe,rank_gross_margin,rank_operating_margin,rank_profit_margin,rank_revenue_growth,rank_earnings_growth,rank_pb,rank_debt_to_equity,value_score,quality_score,growth_score,factor_coverage,total_score,flags,market_rank,theme,theme_source,is_mortgage_reit,theme_rank,research_status,research_candidate,previous_market_rank,rank_change,daily_change,regime_adjusted_score,regime,factor_model_version,regime_rank
INSW,INSW,"International Seaways, Inc. Common Stock ",US,NYSE,Nasdaq Trader,INSW,NYSE,INSW,"International Seaways, Inc.",99.52,486597.0,503702.93333333335,4929355908.0,6.3552476132699,2.1755183360432584,8.3701768488746,37.4116050605098,0.288154290645754,59.5329951495586,55.6529596108849,61.8606353609804,57.66313069733789,225.7103040891884,10.125041496071695,18.06857278443468,49.33973589435774,134.6616364065079,3.613813776829467,0.50946796,INSW,NYSE:INSW,NYSE,50128515.925333336,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.7336814621409922,0.775055231974292,0.8863225547298654,0.9395460935930908,0.7121150729335495,0.6700140590480016,0.50946796,0.6895648670427075,83.36513356095601,67.97894630453544,71.21150729335494,77.6955428067107,0.1573502813504823,0.963198546115402,0.9723193473193472,0.925654116145501,0.7454545454545455,0.9601910828025476,0.9840764331210192,0.9201680672268908,0.9524601063829788,0.5490625,0.6376587178693094,82.81934644782498,85.06069790785844,93.63140868049346,1.0,83.39790480484328,ok,2.0,Shipping,concentration_guard_keyword_v1,False,1.0,research_candidate,True,2.0,0.0,unchanged,81.61173956041772,UNKNOWN,1.7.0,1
DHT,DHT,"DHT Holdings, Inc.",US,NYSE,Nasdaq Trader,DHT,NYSE,DHT,"DHT Holdings, Inc.",19.82,4952837.0,2994248.3,3191845280.0,6.742643306684811,2.4035196647199206,7.4167507568113,39.1763532556201,0.32702160368475,59.4712442500962,56.6595032304697,65.5970899463573,39.41599357538878,148.6465911013365,7.135135135135137,12.70969576343474,17.62611275964391,80.18181818181819,3.388606188953632,0.3087614,DHT,NYSE:DHT,NYSE,59346001.306,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.6766418959630448,0.7005422775657763,0.7111869853384214,0.8782888130146616,0.7358184764991896,0.7069692709379394,0.3087614,0.798549556809025,74.1664992970476,75.27594138734821,73.58184764991897,74.35616207255346,0.1483097880928355,0.9572921399363924,0.9667832167832168,0.9336311423101468,0.7450909090909091,0.963375796178344,0.988216560509554,0.8859082094376212,0.9371675531914894,0.5115624999999999,0.611644471972747,81.1879285573203,84.83917760123403,91.15378813145551,1.0,82.15390026858906,ok,4.0,Shipping,concentration_guard_keyword_v1,False,2.0,research_candidate,True,4.0,0.0,unchanged,80.36136528393283,UNKNOWN,1.7.0,2
CARE,CARE,"Carter Bankshares, Inc. - Common Stock",US,NASDAQ,Nasdaq Trader,CARE,NASDAQ,CARE,"Carter Bankshares, Inc.",31.25,506587.0,408953.7,692622840.0,5.383012075172688,1.2845671892354504,0.32,26.8692956357082,0.0,,65.03029398128139,49.8723016353249,40.08538785327721,327.11153619776337,-5.731523378582198,16.866118175018705,43.61213235294117,68.73650107991361,3.27895031803836,-0.21811002,CARE,NASDAQ:CARE,NASDAQ,12779803.125,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.2845953002610966,0.7595902791725246,0.8690500100421772,0.8551918055834505,0.5384927066450568,0.7224342237397068,0.21811002,0.8519339242546333,69.21068487648122,78.71840739971701,53.84927066450568,69.28340337549383,0.1857695999999999,0.9777373920945024,0.5702214452214452,0.8698149329929802,,0.9780254777070064,0.9735668789808916,0.8884938590820943,0.9694148936170212,0.7796875,0.9848250232270052,77.58821124386492,95.15580782269708,92.89543763495578,1.0,83.95445613506139,ok,1.0,Financials,concentration_guard_keyword_v1,False,1.0,research_candidate,True,1.0,0.0,unchanged,79.51794461026014,UNKNOWN,1.7.0,3
MRP,MRP,"Millrose Properties, Inc. Class A Common Stock",US,NYSE,Nasdaq Trader,MRP,NYSE,MRP,"Millrose Properties, Inc.",30.39,1020017.0,1107976.0333333334,4686991975.0,10.598821190667175,0.8623270344774749,9.90457387298454,8.11972623428877,0.425803457239745,,85.10919172223,62.5951458365931,228.2447129909365,890.4317789291885,6.818980667838317,10.068815646504891,-1.9677419354838688,-6.492307692307691,1.9650198184793548,0.17399319,MRP,NYSE:MRP,NYSE,33671391.653000005,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.6686081542478409,0.6555533239606347,0.4440650733078931,0.4010845551315525,0.660453808752026,0.9244828278770838,0.17399319,0.8815471394037067,54.23277766619803,90.30149836403952,66.0453808752026,65.02184832200909,0.0943501151694636,0.8736937755565652,0.9787296037296036,0.498085513720485,,0.9923566878980892,0.9847133757961783,0.9764059469941824,0.9850398936170212,0.911875,0.5549705791266646,92.14327930953895,75.75315391353543,98.07229203056018,1.0,83.26870811641626,ok,3.0,Other,concentration_guard_keyword_v1,False,1.0,research_candidate,True,3.0,0.0,unchanged,79.2864488245647,UNKNOWN,1.7.0,4
8622.T,8622,"Mito Securities Co.,Ltd.",JP,Prime Market (Domestic),JPX,8622,TSE,8622,"Mito Securities Co., Ltd.",920.0,505400.0,394076.6666666667,54146322327.0,12.996534728294728,1.2722514356043713,4.67391304347826,10.3343833292949,0.0853823725233602,97.5344186776946,29.0792022195467,22.3263361775637,35.37665650910637,128.699874646231,20.57667103538663,40.88820826952527,44.881889763779526,68.19012797074954,3.7181580697006456,0.20715041,8622,TSE:8622,TSE,362550533.3333334,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.95058061031596,0.9700243046178774,0.9608425600864164,0.9116932217121252,0.7112733171127331,0.2300837159060221,0.20715041,0.7782878746961923,94.82851741830947,50.41857953011073,71.12733171127331,80.17085509020437,0.0769435869565217,0.6162402669632926,0.9422382671480144,0.5125523012552301,0.9978094194961664,0.940625,0.925,0.9382259767687434,0.902155887230514,0.5660279647850854,0.7055758207399687,70.81688329654642,81.63125082982731,92.01909319996288,1.0,78.30291671384903,ok,1.0,Financials,concentration_guard_keyword_v1,False,1.0,research_candidate,True,1.0,0.0,unchanged,77.93371438957502,UNKNOWN,1.7.0,5
WSBC,WSBC,"WesBanco, Inc. - Common Stock",US,NASDAQ,Nasdaq Trader,WSBC,NASDAQ,WSBC,"WesBanco, Inc.",40.86,805883.0,914642.0,3918714782.000001,11.856537635656665,1.008163260270694,3.69554576603035,8.97967626046724,0.425155699281088,,44.145186873256286,33.69084618209212,31.111729811453465,107.17806901526994,-0.1710236989982904,17.684331797235025,12.40715268225584,31.891542930923173,1.9132415525440345,0.26497024,WSBC,NASDAQ:WSBC,NASDAQ,37372272.12,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.4386422976501306,0.7686282386021289,0.6551516368748744,0.7127937336814621,0.6746353322528363,0.9323157260494076,0.26497024,0.8227236099919419,64.3803976702149,87.75196680206747,67.46353322528364,70.68576028643835,0.0843416544297601,0.8200817810086325,0.8927738927738927,0.5223356732610083,,0.921656050955414,0.9238853503184712,0.8493859082094376,0.9115691489361702,0.8734375,0.555899659337256,86.20977245941751,73.09441834680375,88.04775285728039,1.0,80.25545294385375,ok,15.0,Other,concentration_guard_keyword_v1,False,4.0,research_candidate,True,14.0,-1.0,unchanged,77.85322896671778,UNKNOWN,1.7.0,6
BUSE,BUSE,First Busey Corporation - Common Stock,US,NASDAQ,Nasdaq Trader,BUSE,NASDAQ,BUSE,First Busey Corporation,30.3,520407.0,807044.5,2502081524.0000005,12.596657520578695,1.055237320435524,3.3993399339934,9.62271645071912,0.194339005742461,,38.07175706440997,29.2825054127096,35.64369018769773,114.88297302126142,1.3716962194713955,12.180673824509435,15.560640732265451,31.28249566724438,1.8354188621428216,0.252839,BUSE,NASDAQ:BUSE,NASDAQ,24453448.35,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.5095400682868045,0.6911026310504117,0.6913034745932918,0.7101827676240209,0.6187196110210696,0.9409519983932516,0.252839,0.8317888799355359,65.05322353886322,88.63704391643937,61.871961102106965,70.47198926774381,0.0793861386138613,0.7841890049977283,0.872086247086247,0.5443522654754308,,0.8789808917197452,0.882484076433121,0.8745959922430511,0.9188829787234044,0.860625,0.6986683183648188,83.89667506946584,75.1121387998279,89.67394854832277,1.0,80.74053329528338,ok,12.0,Other,concentration_guard_keyword_v1,False,3.0,research_candidate,True,9.0,-3.0,unchanged,77.74625246155641,UNKNOWN,1.7.0,7
ALL,ALL,Allstate Corporation (The) Common Stock,US,NYSE,Nasdaq Trader,ALL,NYSE,ALL,Allstate Corporation (The),253.83,2393154.0,1727603.066666667,64182935417.00001,5.069036996800774,2.0340353745700623,1.63889217192609,46.1077325571322,0.222327734583655,,23.8190969103326,18.9714416071403,5.918330363345314,135.47341938821094,1.3172075200574829,17.29667282809612,23.994919642420985,19.314656388079342,2.416642072997442,-0.06294563,ALL,NYSE:ALL,NYSE,438517486.412,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.5077324764008837,0.7638079935730067,0.7732476400883712,0.6318537859007833,0.9457050243111832,0.8588069893552922,0.06294563,0.9530620467365029,66.91604739907613,90.59345180458976,94.57050243111831,76.98356675526085,0.1972761296931016,0.980463425715584,0.7229020979020979,0.9483088704530952,,0.7439490445859872,0.7796178343949045,0.4266321913380737,0.9305186170212766,0.5796875,0.6779188603282751,76.10176745392273,78.74486524405656,67.85754041796751,1.0,75.9095911386382,ok,49.0,Other,concentration_guard_keyword_v1,False,15.0,research_candidate,True,51.0,2.0,unchanged,77.57723509590652,UNKNOWN,1.7.0,8
ADAM,ADAM,"Adamas Trust, Inc. - Common Stock",US,NASDAQ,Nasdaq Trader,ADAM,NASDAQ,ADAM,"Adamas Trust, Inc.",9.94,1329703.0,883055.5333333333,893405087.0,5.915610307683152,0.958598016647202,9.6579476861167,14.1663390179509,7.68861356787913,85.7378046727309,82.7120021934993,24.307676766705,42.502065003924365,785.3003161222339,12.063134160090195,11.310190369540871,20.048309178743963,42.203147353361935,2.613347083106907,0.80263054,ADAM,NASDAQ:ADAM,NASDAQ,8777572.001333334,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.7684273950592488,0.6774452701345651,0.7360915846555534,0.7662181160875677,0.4914910858995138,0.829082145009038,0.80263054,0.5491539081385979,73.70455914842337,68.9118026573818,49.14910858995138,68.82305244189217,0.1690442655935613,0.9691049522944116,0.977855477855478,0.6895341416719847,0.9298181818181818,0.99171974522293,0.8321656050955414,0.8943115707821591,0.9840425531914894,0.8909374999999999,0.0269433261071538,94.596597671663,69.40361999831583,93.91770619868242,1.0,81.17604992810197,ok,8.0,Other,concentration_guard_keyword_v1,False,2.0,research_candidate,True,8.0,0.0,unchanged,76.88029255108522,UNKNOWN,1.7.0,9
AU,AU,AngloGold Ashanti PLC Ordinary Shares,US,NYSE,Nasdaq Trader,AU,NYSE,AU,AngloGold Ashanti PLC,121.22,6157093.0,2716587.4333333317,61217006955.0,16.223016287255255,6.834543934299972,3.79475334103283,46.5033897271069,0.199955342190466,57.6913319238764,50.6807610993709,32.1945031712553,138.98544866609828,9056.985294117649,50.08047542404359,33.01876440250193,13.004567912743546,125.148588410104,3.8980599651190544,1.9900014,AU,NYSE:AU,NYSE,329304728.6686664,ok,7,ok,2026-08-23T02:29:50.368137+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.9781080538260696,0.8835107451295441,0.6627836915043182,0.9343241614782084,0.9254457050243112,0.6278369150431813,1.9900014,0.2076954069298953,86.46816629845351,41.77661609865383,92.54457050243111,76.20673937910023,0.0616408183468074,0.6665152203543844,0.8980186480186481,0.9489470325462668,0.7290909090909091,0.9506369426751592,0.9117834394904458,0.9650937297996122,0.999002659574468,0.1781249999999999,0.6940229173118613,58.08862894576775,84.68962482229286,98.204819468704,1.0,74.57224469532206,ok,74.0,Other,concentration_guard_keyword_v1,False,29.0,research_candidate,True,79.0,5.0,unchanged,76.10095639864963,UNKNOWN,1.7.0,10
