market,code,ticker,name,event_date,event_type,title,summary,source,source_url,source_tier,data_status,priority,fetched_at,event_id,raw_excerpt
JP,4063,4063.T,信越化学工業,2026-09-15,filing,有価証券届出書（参照方式）,,EDINET,https://disclosure2.edinet-fsa.go.jp/WEEK0010.aspx?docID=S100Z2EE,primary,ok,high,2026-09-15T22:28:15+00:00,8aa99f732abfa40b561a0de4,
US,TRMD,TRMD,TORM plc - Class A Common Stock,2026-09-15,filing,SEC 6-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1655891/000091957426006318/p15075054_6-k.htm,primary,ok,high,2026-09-15T22:28:19+00:00,4f2de058b3c176f4ac99ce83,
JP,4063,4063.T,信越化学工業,"Tue, 15 Sep 2026",dividend,信越化学工業[4063]：創立100周年記念配当の実施 及び 配当予想の修正に関するお知らせ 2026年9月15日(適時開示) ：日経会社情報DIGITAL - 日本経済新聞,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiakFVX3lxTE1UaXotSERuMUFFNlctcE9TT0NPRVhhVVNDbHRCTWFJb0VVVFFxNzd4WUY5cjZ1RWtHemd0WnFraXgySFNUZm14bzhUWm9BV0J2ZVpNSzFrMEt5UldCLVZWeFM0YVNMcmNvdHc?oc=5,secondary,unverified,high,2026-09-15T22:28:20+00:00,44ec5a2f5cc9172c246209e8,
JP,4063,4063.T,信越化学工業,"Tue, 15 Sep 2026",dividend,信越化、今期配当を20円増額修正 - 株探,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiUkFVX3lxTE14VEdPRDlYZE1odUpxZzR6TFpHaHl5MW8zQVhPVkkxRWVYbHNXVV9JUlZZV1pZRmlGOWNSZ250aFVycHNWRkx3YnFzN040dUd5c0E?oc=5,secondary,unverified,high,2026-09-15T22:28:20+00:00,744b4f0db9f5bbb9e7d99255,
JP,4063,4063.T,信越化学工業,"Tue, 15 Sep 2026",buyback,信越化学工業[4063]：コミットメント型自己株式取得（FCSR）における事後調整のお知らせ 2026年9月15日(適時開示) ：日経会社情報DIGITAL - 日本経済新聞,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMizAFBVV95cUxNbnFJd1NqcmFMc2FCUS1NVW8tcGNLRzVsWXJJY0E1YUkyb3dQbnFyTW9xbGE1WUY3V3hiYmFZVEpSX0xjX09XRzVxRTdXSk1nMWk1bGI0LTl4RTlMNXA1QWZ2NUdfYnhDbGYxNzVXRHliSk52RDUxSjN6dTByb0lYb2ZubG43bV9PUGRJeGRaRkZaVXpXTWVtWkhNMkxhZG9xMXRnT3JMdk5OdHM2RkVKWHpmMEQxQjBvb2d0aFdTQzhuYnRrU1FxWUVmcDA?oc=5,secondary,unverified,high,2026-09-15T22:28:20+00:00,4b2cfab3ad7c8fcab28175e3,
JP,9433,9433.T,KDDI,"Mon, 14 Sep 2026",disclosure,攻撃者より先に動くサイバーセキュリティへ - kddi-research.jp,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMieEFVX3lxTE5DaW1fSXN1ZXhWYU9fd014MXhUaEZJVkE3TGhIYk5oeVRLOXJRY1dQN1BKWkoyZ3JSZ29ZS0RxZlJPZE9haVh0eVRXNzg1OEI3cXJTQTVvYk9JdVZubWkzYUE3Y0RadUhjQTgtVHlhVU40RDJSdEtoSw?oc=5,secondary,unverified,normal,2026-09-15T22:28:20+00:00,d4da68325a93be73b50c78d3,
JP,9433,9433.T,KDDI,"Sun, 13 Sep 2026",disclosure,KDDI系新電力社長「蓄電池を無料配布、顧客獲得に手応え」 - 日本経済新聞,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMibEFVX3lxTE9kUWpYR3g1NG9jaEpQbXprWDI3VlNBaE4zWV8ySHc1cGhWSWxET0hpRm5kOWV6ZG1TWFh2TXNDYmtLbWNmaThMNkc0NFBfdnpMcU1razJiRDRBcVk3WGZTQzNZWGRfWHhmc1ZLZw?oc=5,secondary,unverified,normal,2026-09-15T22:28:20+00:00,fa43ec30758139033b4a4425,
JP,9433,9433.T,KDDI,"Sun, 13 Sep 2026",disclosure,au×モナキが新感覚コラボMV2本同時公開 - 共同通信PRワイヤー,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBkS0Nqem9LSmhxYkxZVV9WTGJaQU1ORldScnZJMVMxbU0wXzU4TDVydFVsUzBjTTUtZnE0N1dxMTAyeDJpMThIcDVJN01CSXE1MzV3alY3aWtaTVU?oc=5,secondary,unverified,normal,2026-09-15T22:28:20+00:00,9d7c9deaf3994ce0016ce9d1,
JP,4063,4063.T,信越化学工業,"Thu, 10 Sep 2026",disclosure,信越化学工業はなぜ儲かる？元機関投資家が明かす「シリコンウエハー」だけではない強さの秘密（LIMO） - Yahoo!ニュース,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMif0FVX3lxTFB2U0NNd1FFV3BMOS1OM1JMYWZxbW9IRVBNUlNiVFpiY0Y3VnV1UFlQVWdmM1oyV3Jub0hPMWRmak1Obk9LUGNEcjJybno2aEI4SzE3SFduQ0w0ZjF0eE1CVHhZRnppTExnSkZLazFseEJhTXZ2Z2EteVFfN0lBSzQ?oc=5,secondary,unverified,normal,2026-09-15T22:28:20+00:00,4bfdc9fb8b62b87cc939babf,
JP,9433,9433.T,KDDI,"Tue, 15 Sep 2026",disclosure,KDDIとSpaceX、次世代衛星「Starlink Mobile V2」契約 27年に音声通話も - ケータイ Watch,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9sczBfT2JpejN4RlRjekg4bGxhSDBycUZhVE54dzBhcmFxbm9ERWZnQ1h3bUd1MEdfcVlmTHV4R1QyTWNrLXMwTzc1amFjb2d0SktjTlMzSVQtTUJ5Q2tVUmF0Zi1QY1k?oc=5,secondary,unverified,normal,2026-09-15T22:28:20+00:00,080a0b0b800005693e779107,
JP,6701,6701.T,NEC,"Tue, 15 Sep 2026",disclosure,ＮＥＣ【6701】：今の株価の理由は？値動きの背景をAIが解説 - Yahoo!ファイナンス,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9jeW5EcF9NdjRtMHdYQVVGaDJBWUc1azRqeDM5YzN3Q1BnSDkyZTBLdEhuUFNLcVZnRXNTWXNnRl9vQ1hfUkY0VHktRXNSN1B1RF9FZWQ3UFl0bDhYT2hj?oc=5,secondary,unverified,normal,2026-09-15T22:28:20+00:00,0f73a2f2e42067ba33553510,
JP,6701,6701.T,NEC,"Tue, 15 Sep 2026",disclosure,NEC「革新と安心を語る -Empower Humanity-」 15分版: NEC Online TV - NEC,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiaEFVX3lxTE12X2piZ3VLSTVuRThUdFdzUW9RTnJ3QkFxV0NTV292eUJZdWFVUjU0Q01oazRuZkdVMmk4SzJrV0htMl91bTN3V2RZQmtja3Q2aHVuNzFSNEFVbG1HWFZ4TV92ZnJUWklm?oc=5,secondary,unverified,normal,2026-09-15T22:28:20+00:00,bcbfa82f3f62b953fc016180,
