market,code,ticker,name,priority,source,fetched_at,fundamental_status,secondary_snapshot_status,secondary_snapshot_source,supply_demand_source_status,supply_demand_source,secondary_fundamental_status,secondary_fundamental_source_file,ticker_screen,code_screen,name_screen,market_screen,exchange,universe_source,merge_code,merge_exchange,source_name,source_description,price,volume,avg_volume_30d,market_cap,pe,pb,dividend_yield,roe,debt_to_equity,gross_margin,operating_margin,profit_margin,revenue_growth,earnings_growth,return_1m,return_3m,return_6m,return_12m,volatility_1m,beta_1y,source_code,source_symbol,source_exchange,avg_turnover_30d,price_status,fundamental_fields_present,fundamental_status_screen,data_retrieved_at_utc,price_date,price_basis,price_source,fundamental_source,eligible,rank_return_1m,rank_return_3m,rank_return_6m,rank_return_12m,rank_avg_turnover_30d,rank_volatility_1m,beta_abs,rank_beta_abs,momentum_score,risk_score,liquidity_score,pre_score,earnings_yield,rank_earnings_yield,rank_dividend_yield,rank_roe,rank_gross_margin,rank_operating_margin,rank_profit_margin,rank_revenue_growth,rank_earnings_growth,rank_pb,rank_debt_to_equity,value_score,quality_score,growth_score,factor_coverage,total_score,flags,market_percentile,cross_market_score,market_rank,cross_market_rank,theme,theme_source,is_mortgage_reit,theme_rank,research_status,research_candidate,previous_market_rank,rank_change,daily_change,_code,fundamental_source_file,yf_price,yf_market_cap,yf_trailing_pe,yf_forward_pe,yf_pbr,yf_roe,yf_profit_margin,yf_revenue_growth,yf_earnings_growth,yf_dividend_yield,yf_beta,yf_shares_outstanding,yf_float_shares,yf_held_percent_insiders,yf_held_percent_institutions,yf_shares_short,yf_shares_short_prior_month,yf_short_percent_float,yf_short_ratio_days,yf_short_interest_date,yf_average_volume,yf_regular_market_volume,yf_regular_market_change_pct,yf_regular_market_time
JP,4063,4063.T,信越化学工業,high,watchlist,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5888.0,10687101272064.0,23.322506,17.857035,2.402029,0.112320006,0.18361999,0.054,0.057,1.98,1.062,1815064711.0,1858411572.0,0.0078,0.56096,,,,,,7204450.0,2142300.0,0.7530378,1790209053.0
JP,9433,9433.T,KDDI,high,watchlist,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3068.0,11339213832192.0,16.71024,1316.7383,2.2782698,0.14586,0.12086,0.036,0.194,2.75,-0.102,3695962728.0,2988837250.0,0.21152,0.37750998,,,,,,8840152.0,2523100.0,0.26143792,1790209054.0
JP,6701,6701.T,NEC,high,watchlist,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806.0,6374409371648.0,23.666716,6.684655,2.8532686,0.1416,0.08154,0.145,1.586,0.83,0.345,1326344017.0,1260926975.0,0.049629997,0.5524,,,,,,6886009.0,1571900.0,-0.12468828,1790209053.0
JP,6965,6965.T,浜松ホトニクス,high,watchlist,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305.5,665682771968.0,50.55921,27.335785,2.1015105,0.055180002,0.07496,0.243,,1.69,0.762,288736847.0,279958167.0,0.028299998,0.43337002,,,,,,2843108.0,450100.0,2.6263075,1790209054.0
US,CARE,CARE,"Carter Bankshares, Inc. - Common Stock",normal,screening,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,CARE,CARE,"Carter Bankshares, Inc. - Common Stock",US,NASDAQ,Nasdaq Trader,CARE,NASDAQ,CARE,"Carter Bankshares, Inc.",30.28,291308.0,293637.9666666667,671123842.9999999,5.215923380359327,1.244694223681582,0.660501981505945,26.8692956357082,0.0,,65.03029398128139,49.8723016353249,40.08538785327721,327.11153619776337,-3.4438775510204027,-6.658446362515403,49.38332511100149,53.70558375634519,2.4802571917574605,-0.19530444,CARE,NASDAQ:CARE,NASDAQ,8891357.630666668,ok,7,ok,2026-09-23T12:46:43.260796+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.5360224764198274,0.4180212723259081,0.8842063014248445,0.861328516957656,0.4960677555958863,0.7662050973309251,0.19530444,0.873015873015873,67.48946417820589,81.9610485173399,49.60677555958863,68.4249569701968,0.19172060766182297,0.9731903485254692,0.6029625326749928,0.86624,,0.9777707208637663,0.9717280813214739,0.8827519379844961,0.9676234979973297,0.7838679539084398,0.9842398022249691,78.66736117029673,94.99946511025524,92.5187717990913,1.0,84.33803783428812,ok,100.0,100.0,1.0,2.0,Financials,concentration_guard_keyword_v1,False,1.0,research_candidate,True,1.0,0.0,unchanged,CARE,,29.93,693296512.0,5.1603446,11.511539,1.2303202,0.27216,0.44919997,0.683,2.539,1.32,0.499,23163931.0,21235927.0,0.022780001,0.67303,2102923,1973219,0.0929,5.62,1788134400,370731.0,200479.0,-1.15588,1790193600.0
JP,8622,8622.T,"Mito Securities Co.,Ltd.",normal,screening,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,8622.T,8622,"Mito Securities Co.,Ltd.",JP,Prime Market (Domestic),JPX,8622,TSE,8622,"Mito Securities Co., Ltd.",937.0,310000.0,404863.3333333333,55146852196.0,13.236688087404522,1.2957604295231475,4.58911419423693,10.3343833292949,0.0853823725233602,97.5344186776946,29.0792022195467,22.3263361775637,35.37665650910637,128.699874646231,2.516411378555799,40.26946107784431,27.6566757493188,62.95652173913044,2.970891397379435,0.30656213,8622,TSE:8622,TSE,379356943.3333333,ok,7,ok,2026-09-23T12:46:43.260796+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.6655844155844156,0.9548160173160173,0.8658008658008658,0.9031385281385281,0.7242965367965368,0.2545995670995671,0.30656213,0.6961580086580086,84.73349567099568,47.53787878787878,72.42965367965368,73.58901515151516,0.07554759871931696,0.618941504178273,0.9401534526854219,0.518210197710718,0.997827267789245,0.9395036194415719,0.9245087900723888,0.9364829396325459,0.9030837004405287,0.5616649537512847,0.7015002586652871,70.69199702049931,81.63100267358422,91.97833200365373,1.0,76.31712249308279,ok,100.0,100.0,1.0,1.0,Financials,concentration_guard_keyword_v1,False,1.0,research_candidate,True,1.0,0.0,unchanged,8622,,917.0,55234752512.0,17.892683,,1.2681019,0.103369996,0.23229,0.717,3.509,4.48,0.481,60234191.0,46870633.0,0.19357,0.20951,,,,,,360042.0,38400.0,-2.1344717,1790209048.0
US,INSW,INSW,"International Seaways, Inc. Common Stock ",normal,screening,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,INSW,INSW,"International Seaways, Inc. Common Stock ",US,NYSE,Nasdaq Trader,INSW,NYSE,INSW,"International Seaways, Inc.",103.95,1007165.0,684764.0,5148779631.000001,6.638142980299499,2.272358631749364,8.01346801346801,37.4116050605098,0.28815429064575404,59.5329951495586,55.6529596108849,61.8606353609804,57.663130697337884,225.71030408918836,3.494623655913984,15.860454748105221,46.34661410671547,118.15320041972718,3.532259973329262,0.5166983,INSW,NYSE:INSW,NYSE,71181217.8,ok,7,ok,2026-09-23T12:46:43.260796+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.8019265502709211,0.8089504314669878,0.8755769616696769,0.9524382901866345,0.7745513208308127,0.5729480232791491,0.5166983,0.70042194092827,85.97230583985551,63.66849821037095,77.45513208308127,79.11877786896822,0.15064454064454064,0.9481680071492404,0.9706651176299739,0.92224,0.7443799854967368,0.9599872975547793,0.9828462515883101,0.9182816537467701,0.9499332443257676,0.514792899408284,0.642150803461063,81.12086747291661,85.03208676201778,93.41074490362689,1.0,82.66650814699295,ok,99.97095556200988,99.97095556200988,2.0,3.0,Shipping,concentration_guard_keyword_v1,False,1.0,research_candidate,True,2.0,0.0,unchanged,INSW,,101.96,5050212352.0,6.8383636,15.87749,2.2288775,0.37412,0.61767,1.401,3.731,7.87,-0.101,49531311.0,41484454.0,0.16228001,0.84779,2990869,2144051,0.0859,5.75,1788134400,627177.0,601727.0,-1.91438,1790193602.0
JP,8707,8707.T,"IwaiCosmo Holdings,Inc.",normal,screening,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,8707.T,8707,"IwaiCosmo Holdings,Inc.",JP,Prime Market (Domestic),JPX,8707,TSE,8707,"IwaiCosmo Holdings, Inc.",4740.0,127000.0,112740.0,111338015213.0,9.551875956195177,1.4959564203277755,4.74683544303798,16.5637589614966,0.36296943231441,97.1910112359551,45.1109893121403,31.9429980816662,38.7610754078412,64.54057796384359,4.405286343612334,17.617866004962778,25.89641434262948,75.03692762186115,2.1925523909214633,0.8458716,8707,TSE:8707,TSE,534387600.0,ok,7,ok,2026-09-23T12:46:43.260796+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.7689393939393939,0.8081709956709957,0.8541666666666666,0.9288419913419913,0.7683982683982684,0.4542748917748918,0.8458716,0.2811147186147186,84.00297619047619,36.76948051948052,76.83982683982684,71.12012987012987,0.10469147679324894,0.856824512534819,0.9498721227621484,0.7757544224765869,0.9961977186311787,0.9865563598759048,0.9741468459152016,0.9459317585301837,0.7946035242290749,0.4794450154162384,0.4169684428349716,76.2047216904402,82.99247579467688,87.02676413796293,1.0,75.32052070536537,ok,99.94884910485933,99.94884910485933,2.0,4.0,Other,concentration_guard_keyword_v1,False,1.0,research_candidate,True,2.0,0.0,unchanged,8707,,4685.0,110044667904.0,10.537325,,1.478598,0.16564,0.33735,0.402,0.555,4.85,0.293,23488725.0,19142841.0,0.17061001,0.16789,,,,,,112752.0,20400.0,-1.1603376,1790209055.0
US,STNG,STNG,Scorpio Tankers Inc. Common Shares,normal,screening,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,STNG,STNG,Scorpio Tankers Inc. Common Shares,US,NYSE,Nasdaq Trader,STNG,NYSE,STNG,Scorpio Tankers Inc.,82.33,1479140.0,851298.4,4123197821.0,5.183333753053464,1.1708959053202732,2.14988461071298,24.6193235920985,0.200260575722882,59.143127672019,46.7231597053982,67.1573954411253,32.68443204491772,116.30646457218342,4.215189873417719,2.057766208007929,12.04409363091997,39.87427794767245,2.9119507545787857,0.17144257,STNG,NYSE:STNG,NYSE,70087397.272,ok,7,ok,2026-09-23T12:46:43.260796+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.8205900060204696,0.6172988159743127,0.6273329319686936,0.8145695364238411,0.7729380923573301,0.6837246638571142,0.17144257,0.886477797870203,71.99478225968292,78.51012308636585,77.29380923573301,74.41847151276117,0.19292602939390258,0.9736371760500446,0.7618356084809759,0.84608,0.7393038433647571,0.9371228961575103,0.9882465057179162,0.8546511627906976,0.914886515353805,0.8081594518841482,0.6968479604449938,84.78774121383896,84.15202411370355,88.47688390722513,1.0,82.50605391523797,ok,99.94191112401975,99.94191112401975,3.0,5.0,Shipping,concentration_guard_keyword_v1,False,2.0,research_candidate,True,3.0,0.0,unchanged,STNG,,81.25,4069109760.0,5.0623055,15.04117,1.1979183,0.24619,0.67157,0.775,3.828,2.19,-0.227,50081352.0,39025777.0,0.13719,0.74894994,2102583,2042701,0.044699997,2.79,1788134400,857904.0,1184787.0,-1.3118,1790193602.0
US,NWFL,NWFL,Norwood Financial Corp. - Common Stock,normal,screening,2026-09-24T00:32:34+00:00,missing,ok,yfinance,ok,yfinance,ok,data/screening_latest.csv,NWFL,NWFL,Norwood Financial Corp. - Common Stock,US,NASDAQ,Nasdaq Trader,NWFL,NASDAQ,NWFL,Norwood Financial Corp.,34.33,29867.0,34452.166666666664,374268216.0,11.833034606369779,1.2910256979172856,3.69938829012526,11.1962567831245,0.226187681259495,,40.144100054377375,27.998524042569716,42.39417378943676,1121.5578947368422,1.2087264150943295,10.741935483870963,18.83004499826929,30.53231939163497,1.9304429590772636,0.17854653,NWFL,NASDAQ:NWFL,NASDAQ,1182742.8816666666,ok,7,ok,2026-09-23T12:46:43.260796+00:00,,TradingView scanner close; exact exchange timestamp unavailable,TradingView scanner (unofficial/undocumented),TradingView scanner (unofficial/undocumented),True,0.75316074653823,0.7563716636564318,0.7049969897652016,0.7682119205298014,0.269409155071587,0.8705599036724865,0.17854653,0.8832630098452883,74.56853301224162,87.69114567588873,26.940915507158703,70.70504355239096,0.08450917564812117,0.7975871313672922,0.8832413592796979,0.59264,,0.8964750714512544,0.8640406607369758,0.8882428940568475,0.9889853137516689,0.7664279040797259,0.6798516687268232,81.5752131575572,75.82518502287634,93.86141039042582,1.0,82.46133342641309,ok,99.91286668602962,99.91286668602962,4.0,6.0,Financials,concentration_guard_keyword_v1,False,2.0,research_candidate,True,4.0,0.0,unchanged,NWFL,,33.34,363475136.0,11.417808,8.603871,1.2471477,0.11196999,0.28926,0.347,0.284,3.73,0.532,10902074.0,9844156.0,0.08091,0.42388,153518,125968,0.0153,4.45,1788134400,41300.0,21141.0,-2.88378,1790193600.0
