date,course,ticker,close,total,momentum,macro,trend,risk,cost
2026-09-05,STANDARD,SPY,770.1900024414062,75.08,68.23,51.61,99.41,93.23,91.0
2026-09-05,TECH,QQQ,718.9600219726562,73.34,66.51,50.45,97.81,87.81,91.0
2026-09-05,BTC,BTC-USD,79628.046875,70.38,99.66,50.8,77.29,52.63,20.82
2026-09-05,GOLD,GLD,406.7699890136719,50.83,52.66,46.19,25.22,67.08,91.0
2026-09-07,STANDARD,SPY,770.1900024414062,75.08,68.23,51.61,99.41,93.23,91.0
2026-09-07,TECH,QQQ,718.9600219726562,73.4,66.51,50.7,97.81,87.81,91.0
2026-09-07,BTC,BTC-USD,79467.1328125,70.58,100.0,51.24,77.19,52.46,20.82
2026-09-07,GOLD,GLD,406.7699890136719,50.96,52.66,46.73,25.22,67.08,91.0
2026-09-08,STANDARD,SPY,770.1900024414062,75.08,68.23,51.61,99.41,93.23,91.0
2026-09-08,TECH,QQQ,718.9600219726562,73.45,66.51,50.92,97.81,87.81,91.0
2026-09-08,BTC,BTC-USD,78438.40625,71.25,94.28,51.63,88.55,55.54,20.82
2026-09-08,GOLD,GLD,406.7699890136719,51.08,52.66,47.21,25.22,67.08,91.0
2026-09-09,TECH,QQQ,718.3599853515625,73.0,64.69,51.73,97.76,87.78,91.0
2026-09-09,BTC,BTC-USD,79244.640625,70.22,89.73,52.06,89.05,59.11,20.82
2026-09-09,STANDARD,SPY,765.9600219726562,67.54,58.2,51.95,79.08,92.69,91.0
2026-09-09,GOLD,GLD,399.7200012207031,48.83,46.24,48.42,24.36,65.68,91.0
2026-09-10,STANDARD,SPY,762.4000244140625,66.95,57.4,51.06,78.81,92.31,91.0
2026-09-10,TECH,QQQ,716.3099975585938,65.65,56.22,50.37,77.6,87.6,91.0
2026-09-10,BTC,BTC-USD,77964.1015625,62.06,78.42,52.28,68.26,58.11,20.82
2026-09-10,GOLD,GLD,403.3500061035156,49.31,48.32,46.91,24.8,66.07,91.0
2026-09-11,BTC,BTC-USD,77262.8828125,58.89,68.07,51.64,67.83,65.07,20.82
2026-09-11,STANDARD,SPY,757.8300170898438,57.15,44.96,48.96,54.45,91.79,91.0
2026-09-11,TECH,QQQ,708.6900024414062,54.58,41.66,46.51,52.99,86.73,91.0
2026-09-11,GOLD,GLD,396.3599853515625,45.7,42.43,41.93,23.96,64.75,91.0
2026-09-14,STANDARD,SPY,764.2899780273438,65.6,56.02,47.52,78.95,92.22,91.0
2026-09-14,TECH,QQQ,714.8800048828125,62.75,52.95,43.45,77.48,87.56,91.0
2026-09-14,BTC,BTC-USD,77664.0625,58.89,68.67,50.43,68.07,65.5,20.82
2026-09-14,GOLD,GLD,398.7699890136719,45.67,45.11,37.58,24.25,65.38,91.0
2026-09-15,STANDARD,SPY,760.8800048828125,65.93,56.22,48.92,78.69,91.85,91.0
2026-09-15,BTC,BTC-USD,77154.421875,57.91,66.6,50.03,67.76,64.6,20.82
2026-09-15,TECH,QQQ,709.1799926757812,54.58,42.3,45.55,53.03,86.85,91.0
2026-09-15,GOLD,GLD,392.8399963378906,45.28,43.07,39.88,23.53,64.25,91.0
2026-09-16,STANDARD,SPY,757.3900146484375,57.26,45.48,48.82,54.42,91.54,91.0
2026-09-16,BTC,BTC-USD,75769.7421875,55.42,60.45,50.12,66.9,62.68,20.82
2026-09-16,TECH,QQQ,704.5399780273438,53.59,39.91,45.43,52.65,86.32,91.0
2026-09-16,GOLD,GLD,394.1499938964844,45.2,42.73,39.78,23.69,64.62,91.0
2026-09-17,STANDARD,SPY,754.0499877929688,57.12,45.68,48.26,54.16,91.36,91.0
2026-09-17,BTC,BTC-USD,76430.0078125,55.45,62.05,47.58,67.31,62.89,20.82
2026-09-17,TECH,QQQ,704.719970703125,53.89,42.16,43.09,52.67,87.31,91.0
2026-09-17,GOLD,GLD,391.739990234375,36.38,34.07,35.57,0.0,64.7,91.0
2026-09-18,TECH,QQQ,716.9199829101562,70.97,65.42,42.89,97.65,87.22,91.0
2026-09-18,BTC,BTC-USD,78023.7578125,69.74,76.43,67.06,88.3,64.8,20.82
2026-09-18,STANDARD,SPY,762.5999755859375,66.51,58.37,48.31,78.82,91.4,91.0
2026-09-18,GOLD,GLD,398.3599853515625,44.85,43.86,35.03,24.2,68.02,91.0
2026-09-21,STANDARD,SPY,767.8599853515625,78.36,68.08,65.57,99.23,91.96,91.0
2026-09-21,BTC,BTC-USD,85244.359375,77.24,95.79,67.08,92.77,63.05,20.82
2026-09-21,TECH,QQQ,733.1199951171875,76.34,69.71,57.0,98.95,88.03,91.0
2026-09-21,GOLD,GLD,397.7799987792969,45.02,42.35,37.57,24.13,68.75,91.0
