contract,report_date,open_interest,asset_mgr_net,asset_mgr_net_pct_oi,lev_money_net,lev_money_net_pct_oi,source_url,fetched_at,data_status
EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,2026-08-25,22261,-1565,-0.07030232244732941,-259,-0.011634697452944612,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,2026-08-25,46404,1030,0.02219636238255323,5594,0.12054995259029394,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,2026-08-25,202030,10153,0.05025491263673712,-30842,-0.15266049596594566,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2026-08-25,405377,109578,0.27031133981454303,163684,0.4037821583365608,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE,2026-08-25,301987,73216,0.2424475225754751,-41232,-0.13653567868815544,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,2026-08-25,2045669,953228,0.46597372302166185,-315204,-0.15408357852614474,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2026-08-25,2074931,954976,0.4602447021129859,-328532,-0.1583339397792023,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
ADJUSTED INT RATE S&P 500 TOTL - CHICAGO MERCANTILE EXCHANGE,2026-08-25,1106401,-218606,-0.1975829739850199,1595,0.0014416111337571097,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2026-08-25,322190,74231,0.23039510847636488,-44316,-0.13754616840994444,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE,2026-08-25,292624,17477,0.059725107988408334,-133278,-0.45545819891738204,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2026-08-25,384216,-20116,-0.05235596643554667,-77042,-0.2005174172861099,https://www.cftc.gov/files/dea/history/fut_fin_txt_2026.zip,2026-09-01T22:26:46+00:00,ok
