投資部門別　株式売買状況　東証プライム　[株数]　全 51 社,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Trading Volume of Stocks in TSE Prime Market by Investor Type - All 51 trading participants,,,,,,,,,,
2026年8月第2週 2026/8 week2  ( 8/10 - 8/14 ),,,,,,,,,,
,,,,,,,,,,"千株,%  1,000 shs., %"
東証プライム総売買高,,,総売買高に占める合計及び自己・委託別比率,,,,,,,
(売り買い合計),,,Ratio of proprietary brokerage trading,,,,,,,
Total trading volume,,,総計 Total,,自己取引 Proprietary,,委託取引 Brokerage,,,
,"23,116,021",,,99.3%,,11.1%,,88.2%,,
,,,08/03～08/07,,,,08/10～08/14,,,
,,,株数 Shares,,比率 Ratio,差引き Balance,株数 Shares,,比率 Ratio,差引き Balance
自己計,売り,Sales,,"2,171,942",13.5,"-249,062",,"1,196,264",10.4,
Proprietary,買い,Purchases,,"1,922,880",12.0,,,"1,358,280",11.8,"162,016"
,合計,Total,,"4,094,822",12.7,,,"2,554,544",11.1,
委託計,売り,Sales,,"13,911,229",86.5,,,"10,272,948",89.6,"-155,578"
Brokerage,買い,Purchases,,"14,163,645",88.0,"252,416",,"10,117,370",88.2,
,合計,Total,,"28,074,874",87.3,,,"20,390,318",88.9,
総　計,売り,Sales,,"16,083,171",100.0,,,"11,469,212",100.0,
Total,買い,Purchases,,"16,086,525",100.0,"3,354",,"11,475,650",100.0,"6,438"
,合計,Total,,"32,169,696",100.0,,,"22,944,862",100.0,
委託内訳　Brokerage Trading,,,,,,,,,,
法　人,売り,Sales,,"880,939",6.3,,,"579,113",5.6,
Institutions,買い,Purchases,,"1,118,067",7.9,"237,128",,"603,197",6.0,"24,084"
,合計,Total,,"1,999,006",7.1,,,"1,182,310",5.8,
個　人,売り,Sales,,"2,831,049",20.4,"-190,368",,"2,444,926",23.8,"-367,791"
Individuals,買い,Purchases,,"2,640,681",18.6,,,"2,077,135",20.5,
,合計,Total,,"5,471,730",19.5,,,"4,522,061",22.2,
海外投資家,売り,Sales,,"10,143,721",72.9,,,"7,205,921",70.1,
Foreigners,買い,Purchases,,"10,356,349",73.1,"212,628",,"7,407,318",73.2,"201,397"
,合計,Total,,"20,500,070",73.0,,,"14,613,239",71.7,
証券会社,売り,Sales,,"55,520",0.4,"-6,972",,"42,988",0.4,"-13,268"
