個別銘柄信用取引残高 Outstanding Margin Trading by Issue,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
B,,喚,フジプレアム　普通株式,スタンダード,貸,42370,JP3820720005,152200,-800,0.511,381700,-6700,1.2815,39.9,0,0,152200,-800,141700,200,240000,-6900
B,,喚,アズジェント　普通株式,スタンダード,貸,42880,JP3119910002,89000,-2500,2.3324,310900,-3600,8.1478,28.6,0,0,89000,-2500,68800,-1900,242100,-1700
B,,喚,ＮＥＸＹＺ．Ｇｒｏｕｐ　普通株式,スタンダード,貸,43460,JP3758020006,11200,-800,0.0831,928800,7000,6.8947,1.2,0,0,11200,-800,752600,4000,176200,3000
B,,喚,ＨＥＲＯＺ　普通株式,スタンダード,貸,43820,JP3783070000,152300,5300,0.8561,290900,2900,1.6353,52.4,0,0,152300,5300,133100,1500,157800,1400
B,,喚,わかもと製薬　普通株式,スタンダード,貸,45120,JP3991200001,131400,100,0.3772,615100,-3100,1.7656,21.4,0,0,131400,100,174100,0,441000,-3100
B,,喚,藤倉化成　普通株式,スタンダード,貸,46200,JP3811200009,16300,600,0.0528,4080600,-800,13.2272,0.4,100,0,16200,600,3290500,-300,790100,-500
B,,喚,イマジニア　普通株式,スタンダード,貸,46440,JP3149000006,300,0,0.0028,409100,-1800,3.8417,0.1,0,0,300,0,368800,-100,40300,-1700
B,,喚,ＩＣ　普通株式,スタンダード,貸,47690,JP3153800002,0,0,0,1300,-900,0.0168,0,0,0,0,0,300,-200,1000,-700
B,,喚,セルソース　普通株式,スタンダード,貸,48800,JP3423580004,132100,-3700,0.6654,494700,-18300,2.492,26.7,0,0,132100,-3700,328900,-5900,165800,-12400
B,,喚,アドバネクス　普通株式,スタンダード,貸,59980,JP3213400009,10800,100,0.26,119800,-1600,2.8844,9,0,0,10800,100,72000,-1300,47800,-300
B,,喚,グローバルキッズＣＯＭＰＡＮＹ　普通株式,スタンダード,貸,61890,JP3274320005,18300,0,0.1917,139800,-400,1.4642,13.1,0,0,18300,0,86200,500,53600,-900
B,,喚,サンデン　普通株式,スタンダード,貸,64440,JP3336400001,364600,11300,0.3228,981400,-39900,0.869,37.2,62800,0,301800,11300,697400,-10200,284000,-29700
B,,喚,ツナググループ・ホールディングス　普通株式,スタンダード,貸,65510,JP3534100007,23800,900,0.2738,233300,4200,2.6839,10.2,0,0,23800,900,85600,4800,147700,-600
B,,喚,共和コーポレーション　普通株式,スタンダード,貸,65700,JP3254830007,70000,500,1.1513,119700,-2200,1.9687,58.5,0,0,70000,500,40800,-900,78900,-1300
B,,喚,インスペック　普通株式,スタンダード,貸,66560,JP3152650002,128700,0,3.1926,428300,-18800,10.6246,30,0,0,128700,0,110100,-20800,318200,2000
B,,喚,サン電子　普通株式,スタンダード,貸,67360,JP3336450006,51100,-500,0.2128,19500,-700,0.0812,262.1,0,0,51100,-500,6000,-100,13500,-600
B,,喚,精工技研　普通株式,スタンダード,貸,68340,JP3414870000,314800,-4900,0.6745,1308400,-39900,2.8036,24.1,0,-1000,314800,-3900,574300,-39500,734100,-400
B,,喚,協立電機　普通株式,スタンダード,貸,68740,JP3253850006,200,0,0.0023,53800,-900,0.6157,0.4,0,0,200,0,20000,0,33800,-900
B,,喚,ウイルテック　普通株式,スタンダード,貸,70870,JP3154220002,5400,300,0.0833,31800,0,0.4903,17,0,0,5400,300,13600,-300,18200,300
B,,喚,レシップホールディングス　普通株式,スタンダード,貸,72130,JP3979550005,4800,-100,0.0302,184800,100,1.1629,2.6,0,0,4800,-100,90400,0,94400,100
B,,喚,アトム　普通株式,スタンダード,貸,74120,JP3121900009,1469600,10500,0.7593,732300,13400,0.3783,200.7,36600,0,1433000,10500,207500,2300,524800,11100
B,,喚,ひとまいる　普通株式,スタンダード,貸,76860,JP3206700001,1200,300,0.0041,281400,-21300,0.9587,0.4,0,0,1200,300,269600,-19700,11800,-1600
B,,喚,黒田精工　普通株式,スタンダード,貸,77260,JP3272800008,28100,100,0.4881,174100,-500,3.0239,16.1,0,0,28100,100,155500,-300,18600,-200
B,,喚,アートネイチャー　普通株式,スタンダード,貸,78230,JP3100210008,748700,-,2.1769,40600,-,0.118,1844.1,692500,-,56200,-,13700,-,26900,-
